Relocated Date,Make,Color,Plate,State,Relocated From Address Number,Relocated From Street Direction,Relocated From Street Name,Relocated From Suffix,Relocated To Address Number,Relocated To Direction,Relocated To Street Name,Relocated To Suffix,Relocated Reason,Service Request Number,Relocated From X Coordinate,Relocated From Y Coordinate,Relocated From Latitude,Relocated From Longitude,Relocated From Location
06/11/2020 10:00:00 AM,Hyundai,Black,BN16635,Illinois,547,W,OAKDALE,AVE,141,W,DIVERSEY,,CDOT Street Resurfacing,20-00042513,1172088.09029055,1919858.10379729,41.935543241,-87.642974447,"(41.93554324102371, -87.64297444745267)"
06/11/2020 10:12:00 AM,Mazda,Black,QQ1153,Indiana,612,W,OAKDALE,AVE,141,W,DIVERSEY,,CDOT Street Resurfacing,20-00042514,1171646.90033385,1919868.62999588,41.935581863,-87.644595523,"(41.935581862826055, -87.64459552309582)"
06/13/2020 09:48:00 AM,Chevrolet,Black,BR58808,Illinois,1351,W,21ST,ST,1240,W,21ST ST,,Other,20-00042882,1167679.97821128,1890203.01810146,41.854263914,-87.660029683,"(41.85426391446867, -87.66002968305159)"
06/16/2020 12:00:00 AM,Toyota,Red,DEW096,,3531,W,SCHOOL,ST,,,,,,20-00043517,1152247.68362786,1921717.99007878,41.941062176,-87.71584007,"(41.94106217641227, -87.7158400696774)"
06/16/2020 11:44:00 AM,Honda,Green,CA22175,Illinois,3305,N,DRAKE,AVE,3312,N,DRAKE,,Other,20-00043513,1152138.28362786,1921778.79007878,41.941231178,-87.71624055,"(41.941231178085125, -87.71624054974764)"
06/11/2020 10:56:00 AM,Bmw,Black,BE57667,Illinois,850,W,WINONA,ST,846,W,WINONA,,Water Management,20-00042524,1169549.04167973,1934336.47049539,41.975328117,-87.651882432,"(41.97532811662277, -87.65188243214081)"
06/13/2020 10:00:00 AM,Kia Motors Corp,Gray,BR82892,Illinois,1355,W,21ST,ST,1242,W,21ST ST,,Other,20-00042886,1167653.07821128,1890202.31810146,41.854262572,-87.660128437,"(41.854262572379284, -87.66012843657563)"
06/13/2020 10:07:00 AM,Kia Motors Corp,Gray,BX32200,Illinois,1455,N,LOTUS,AVE,1411,N,LOTUS,,Other,20-00042885,1139746.55668629,1909147.93120471,41.906806492,-87.762094758,"(41.9068064921697, -87.762094758435)"
06/11/2020 10:41:00 AM,Toyota,Blue,BA91791,Illinois,624,W,OAKDALE,AVE,141,W,DIVERSEY,,CDOT 50/50 Sidewalk,20-00042536,1171552.90033385,1919865.62999588,41.935575702,-87.644941065,"(41.935575702417765, -87.64494106472438)"
06/09/2020 09:42:00 PM,Hyundai,Blue,BU94960,Illinois,11,E,87TH,ST,8700,S,STATE,,Other,20-00042179,1177905.26787586,1847303.33788419,41.736316952,-87.623798752,"(41.736316951743106, -87.62379875211192)"
